BIG TALL digis that may be hearing TOO MANY STATIONS   Dec 2004
---------------------------------------------------------------

This is a list of ALL known DIGI's in the world heard by FINDU.  
Use it to see if your digi may be having possible reliablity 
problems for local users because it is hearing too many stations 
in its area (its own claimed PHG range).

Since anything above about 60 to 100 users is nearly a 100% saturated 
channel (called your ALOHA range), digis with more users appear 
to just hear too much to be able to reliably support local users
especially the low power ones.

The biggest problem has been far too many dupes due to the legcy
use of the old RELAY and WIDE paths that do no dupe elimination
and cause multiple dupes for every packet.  By eliminating these
dupes, and limiting big-N hops, most digis can support their
local users by properly setting the Big-N limit.  If that is not
enough then the ultimate solution can be to convert its output
to UHF where locals can monitor everything the digi hears and
get double the channel capacity becuse the digi does not digipeat
back onto 144.39.

Another possiblity is to put a very high digi that covers the same
area as other lower ones, is to put its input on 144.99 (if available)
to give priority to low power trackers and locals only there.

Or if the PHG here is unrealistic for your digi, then
consider updating your PHGXXXX string to better match reality.

This list Sorted by HIGHEST NUMBER OF USERS:

But remember that these numbers are inflated by lots of factors
so the best thing to do is to call up your digi on map.findu.com
and select NEAREST to see what all is in range of that digi.

DIGI-CALL  PHG       RNG  STNS
CEDRO      PHG4630   40   61 
N9UMJ-9    PHG7560   44   61 
EA4URA-3   PHG5450   25   60 
W8MWO      PHG6438   24   60 
WR8RA      PHG6530   34   60 
KB0UUR     PHG4665   47   60 
K6SYV-10   PHG7730   75   60 
K8CAD-3    PHG7730   75   60 
VE7SFU-10  PHG3600   29   59 
WB1EMT-1   PHG5380   21   59 
8DOLAR     PHG7850   119  59 
WA7TAI-10  PHG4560   33   59 
KB9YVI-9   PHG5490   31   58 
VE2RYE-3   PHG5790   89   58 
WB0NOO-2   PHG5560   37   58 
KB9YVI-10  PHG5490   31   58 
NT4L-3     PHG5560   37   58 
KB9YVI-8   PHG5490   31   58 
KB4TOH-10  PHG5760   75   57 
WD8WV-3    PHG5830   89   57 
W1PIG-5    PHG5760   75   57 
VE3RPT     PHG4641   42   57 
W6CO-5     PHG2736   40   57 
N0NAS-10   PHG7420   25   57 
HG5PBD-2   PHG4730   56   56 
OH2RDG     PHG8470   35   56 
NS9RC      PHG5360   18   55 
N1JJK-15   PHG5638   45   55 
DB0DS      PHG2530   20   55 
WB9TLH-9   PHG5490   31   54 
WB9TLH-10  PHG5490   31   54 
VE6FAR-1   PHG3900   82   54 
KB2SAE-15  PHG5638   45   54 
HB9HFR-4   PHG2718   35   54 
K9TNW-10   PHG4490   28   54 
N3SDO-9    PHG7730   75   54 
BEAR       PHG4830   80   53 
KC9DJM-10  PHG8570   50   53 
KC9DJM-11  PHG8570   50   53 
KC9DJM-12  PHG8570   50   53 
HG6PGA-1   PHG2860   67   53 
VE7PAC-11  PHG3950   110  53 
SHAFER     PHG6850   110  53 
W7MOT-1    PHG9210   13   53 
F6KPH      PHG3840   73   53 
PI1EHV-2   PHG6500   29   52 
K6IXA-2    PHG5830   89   52 
SULTAN     PHG4453   22   51 
LTROCK     PHG7660   63   51 
LTROCK-15  PHG7660   63   51 
NS1RA-1    PHG5390   22   51 
LTROCK-6   PHG7660   63   51 
HS1RA-1    PHG5390   22   51 
VE2RQM-3   PHG5690   63   51 
VE3VWD     PHG4520   26   51 
LTROCK-14  PHG7660   63   51 
IZ8GMP-11  PHG3360   14   51 
SEXTON     PHG5830   89   50 
W5NVH-10   PHG5550   35   50 
DF0HHH     PHG3640   36   50 
K0STL-15   PHG8330   20   50 
MOXIE      PHG5812   80   50 
WA9CJN-15  PHG7530   37   50 
W3GXT-2    PHG5330   15   50 
N7NEI-10   PHG5230   11   50 
K9APR-3    PHG6460   29   49 
W7AI       PHG7190   13   48 
K7DDI-3    PHG5900   107  48 
N9UT-9     PHG8560   47   48 
N9UT-8     PHG8560   47   48 
W3UD-3     PHG2560   23   48 
MEDFRD     PHG6830   98   48 
EB1F-3     PHG2110   4.5  48 
N9UT-10    PHG8560   47   48 
N3CDC-1    PHG5768   75   47 
VK5RSC-1   PHG5750   71   47 
W2LRC-10   PHG3510   21   47 
VE2RSQ-3   PHG5690   63   47 
IK8SYZ-11  PHG3460   20   47 
WA4SAS-9   PHG5570   40   47 
VE6GC-10   PHG3840   73   47 
N7YET-10   PHG5950   142  47 
KOPEAK     PHG5660   53   47 
ETULSA     PHG5660   53   47 
IK1PCB-11  PHG3830   69   46 
IR1BO      PHG3646   36   46 
W6ARE-5    PHG6730   69   46 
HAGAN      PHG2840   60   46 
MTTOLO     PHG7760   89   46 
N4EVA-11   PHG8370   25   46 
PA3HJG-4   PHG5380   21   46 
SNJUAN     PHG6470   31   45 
WA6YLB-3   PHG5830   89   45 
IR6AI      PHG2830   56   45 
F5RAC-4    PHG2440   15   45 
TUCSON     PHG7150   10   45 
WA4ZBM-5   PHG6460   29   45 
K7MT-10    PHG4960   135  45 
VE6BNF     PHG2930   80   45 
W5LCC-3    PHG9240   16   44 
WULCC-3    PHG9240   16   44 
K5WH-2     PHG4450   22   44 
Q5TCC-3    PHG9240   16   44 
W5OCC-3    PHG9240   16   44 
IQ3VO      PHG3650   39   43 
SV4FHH-11  PHG4280   13   43 
CANCTY     PHG4730   56   43 
N2PDO-15   PHG7390   26   43 
MAGHET     PHG7600   44   43 
SV1GCB-11  PHG4730   56   42 
PA0JWX-2   PHG7390   26   42 
SV1GCB-10  PHG4730   56   42 
KE4LTT-2   PHG7540   39   42 
EAGLE      PHG6860   117  42 
WA5LNL-7   PHG7460   31   41 
W9HOI-15   PHG7380   25   41 
KD5QZD-3   PHG9590   60   41 
LIME       PHG6740   73   41 
W9LTA-10   PHG9560   50   41 
K0SUN-11   PHG5460   26   41 
KDUPZB-3   PHG9590   60   41 
DB0HHN     PHG3540   26   41 
N9IJ-10    PHG5350   17   41 
CT2HPE-3   PHG7330   18   41 
W3CE-3     PHG7474   33   40 
N9ZIP-13   PHG9470   38   40 
OK2AF-2    PHG2737   40   40 
W8FT-2     PHG6610   43   40 
WA7RAT-10  PHG5760   75   40 
N9ZIP-14   PHG9470   38   40 
N9ZIP-15   PHG9470   38   40 
WA7RAT-11  PHG5760   75   40 
KB0VYO-1   PHG6530   34   40 
W0NE       PHG6530   34   40 
CLRMRE     PHG3630   34   40 
WA4SSP-9   PHG5370   20   39 
KA0ARS     PHG9560   50   39 
HG5KFU-10  PHG3530   24   39 
N0DYB-1    PHG5590   44   39 
N3FJA-1    PHG6700   58   39 
KE4ROC-7   PHG7360   22   39 
VE7PAC-4   PHG2960   95   38 
KS4XQ-3    PHG8580   53   38 
WB4FAY-7   PHG7570   47   38 
J43VAE     PHG5360   18   38 
WA2GUG-15  PHG5360   18   38 
K4HY-10    PHG8560   47   37 
ELLIS      PHG2830   56   37 
EDMNTN     PHG6560   41   37 
F1ZRG-3    PHG4660   47   37 
IR8PZ      PHG3750   55   37 
WX3SMD-15  PHG7288   17   37 
W9AIU-8    PHG7460   31   37 
DB0GAP     PHG3800   58   37 
SV1CPO-11  PHG5320   15   37 
K4HY-9     PHG8560   47   37 
KC6ETE-3   PHG5480   30   37 
WA6YLB-7   PHG5636   45   36 
KB5LS-1    PHG7660   63   36 
N2ZWO-10   PHG8472   35   36 
KB5LS      PHG7660   63   36 
IR0AAN     PHG9440   31   36 
IR0AAM     PHG2730   40   36 
VE6FAR-3   PHG3930   98   36 
KB5LS-9    PHG7660   63   36 
VE3KCR     PHG7640   56   35 
K0SUN-12   PHG7560   44   35 
J41VAI     PHG2100   4.2  35 
N5QBJ-3    PHG5670   56   35 
WIDE7-2    PHG3460   20   34 
W9UUU-10   PHG5590   44   34 
WB3W-15    PHG6600   41   34 
W9UUU-9    PHG5590   44   34 
FIELDR     PHG6730   69   34 
WIDE2-2    PHG6730   69   34 
N4IDX-7    PHG5630   45   34 
PA0KDV-2   PHG3460   20   34 
IR2AO      PHG3230   8.7  34 
K8SN-2     PHG6460   29   34 
VE2RLJ-3   PHG5530   31   34 
VE7SLC-7   PHG5508   26   34 
W1KFR-1    PHG5490   31   34 
N3NRI-2    PHG5640   47   34 
K0BOY-1    PHG5360   18   34 
DB0RZ      PHG2630   28   33 
WA4KXV     PHG5460   26   33 
N6RZR-3    PHG5810   80   33 
F6GZM-2    PHG3660   41   33 
W4OT-3     PHG7560   44   33 
K8UI-6     PHG5400   18   33 
AA5ED-3    PHG5670   56   33 
N3KTX-3    PHG5480   30   33 
KE6HEC-3   PHG5830   89   33 
IW0RLC     PHG2560   23   33 
AA5ED-2    PHG5670   56   33 
SP5MG-15   PHG5490   31   32 
VA3DDB-10  PHG6430   24   32 
N1BQ-3     PHG5736   63   32 
N4ZZQ-3    PHG5730   63   32 
KE6REA-3   PHG5810   80   32 
MAKPET     PHG7600   44   32 
KC5OBX-7   PHG9230   15   32 
MAENET-8   PHG7600   44   32 
EA5C-15    PHG2760   47   32 
VE6AO-1    PHG7360   22   32 
WA9RDF-9   PHG5390   22   32 
MAGNED     PHG7600   44   32 
W2ICZ-2    PHG5430   22   32 
WA9RDF-8   PHG5390   22   32 
WA9RDF-10  PHG5390   22   32 
MAGNET     PHG7600   44   32 
AE4KO-10   PHG6150   9.8  31 
IR2UBX-11  PHG2410   12   31 
K4MQF-1    PHG6460   29   31 
CABALL     PHG7830   106  31 
BALL       PHG7830   106  31 
VE6GAB     PHG2810   50   31 
W5UK-9     PHG6660   58   31 
PI1ASD-1   PHG3300   10   31 
KF6TYS-3   PHG3650   39   30 
A3JY-4     PHG7260   15   30 
AA3JY-4    PHG7260   15   30 
AA9MM-10   PHG8460   33   30 
AA9MM-9    PHG8460   33   30 
W7VJD-10   PHG7810   94   30 
LD3GT      PHG3800   58   30 
HG5PDF-2   PHG2460   16   30 
N1PGH      PHG4530   28   30 
LD1DN      PHG3500   20   30 
SK5MK      PHG5460   26   29 
EA5B-13    PHG3840   73   29 
VK4GME-3   PHG6520   32   29 
SHASTA     PHG5800   75   29 
VK2TSB-15  PHG5730   63   29 
VIRGPK     PHG7700   63   29 
KA5WMY-1   PHG9550   47   29 
WA9RES     PHG4510   25   29 
VE3IWJ     PHG5580   42   29 
VA3ROG     PHG5530   31   29 
AD4TZ-5    PHG5760   75   29 
N9UWE      PHG5560   37   29 
W3EXW      PHG7480   35   29 
AB8DT-12   PHG6460   29   29 
HOLDEN     PHG5858   100  29 
F5ZQG-4    PHG4570   35   28 
N3XJT-1    PHG7260   15   28 
AB5WF-14   PHG7460   31   28 
AB5WF-15   PHG7460   31   28 
AB5WF      PHG7460   31   28 
SR3DPN     PHG4480   26   28 
ARBUKL     PHG5630   45   28 
COREY      PHG7800   89   28 
J49VAC-11  PHG3740   52   28 
N5YXO-1    PHG7390   26   28 
KE5PL-4    PHG9550   47   28 
WX2NJ-13   PHG7470   33   28 
VE4GIL-3   PHG6590   49   27 
OH3RCD     PHG6530   34   27 
VE2ROW-3   PHG5560   37   27 
J42VAF     PHG3090   6.1  27 
ON0RCO     PHG2110   4.5  27 
KD6DSI-5   PHG5760   75   27 
SQ5SPT-5   PHG2400   12   27 
KM0R-3     PHG7360   22   27 
KF4UCI-3   PHG4668   47   27 
J42UAF     PHG3090   6.1  27 
K0NDX-10   PHG6690   69   27 
DB0CUX     PHG2560   23   27 
SV3BSF-11  PHG4330   14   27 
N5BAB-11   PHG5460   26   26 
N5BAB-3    PHG5460   26   26 
N5BAB-9    PHG5460   26   26 
N5BAN-11   PHG5460   26   26 
N6BAB-11   PHG5460   26   26 
N5BAB-10   PHG5460   26   26 
KB0WZI-3   PHG6440   26   26 
V5BAB-11   PHG5460   26   26 
NUCAB-11   PHG5460   26   26 
