BIG TALL digis that may be hearing TOO MANY STATIONS  Dec 2004
--------------------------------------------------------------

This is a list of ALL known DIGI's in the world heard by
FINDU.  Use it to see if your digi may be having severe
reliablity problems for local users because it is hearing
too many stations in its area (its own claimed PHG range).

Since anything above about 60 users average is a 100% saturated 
channel (called your ALOHA range), digis with more users appear 
to just hear too much to be able to reliably support local users.

It might be better to let the smaller lower digis closer
to the users be the first hop and for these big digis to
digipeate all that they hear over onto a UHF channel only
so that they dont digipeat back on the national channel
where they will cut the channel throughput by 50%!

Or if the PHG here is unrealistic for your digi, then
consider updating your PHGXXXX string to better match reality.

Sorted by CALLSIGN:

DIGI-CALL  PHG       RNG  STNS
KB5WBH-9   PHG3430   17   7 
KB5WIO-7   PHG4620   38   21 
KB7ITU-10  PHG8970   202  129 
KB7ZVA-11  PHG6870   124  111 
KB8GVQ-11  PHG5460   26   17 
KB8GVQ-15  PHG6530   34   3 
KB8VEE     PHG9360   25   16 
KB8VEE-12  PHG6230   12   2 
KB8VEE-3   PHG7430   26   10 
KB8VEE-4   PHG7430   26   11 
KB8VEE-6   PHG6460   29   19 
KB9QJM-10  PHG6470   31   26 
KB9QJM-8   PHG6470   31   26 
KB9QJM-9   PHG6470   31   26 
KB9RND-10  PHG5200   9.5  3 
KB9UQQ-3   PHG5460   26   25 
KB9YEP-10  PHG5290   15   8 
KB9YEP-8   PHG5290   15   8 
KB9YVI-10  PHG5490   31   58 
KB9YVI-8   PHG5490   31   58 
KB9YVI-9   PHG5490   31   58 
KC0IRJ-3   PHG5320   15   6 
KC0KSH-10  PHG7460   31   2 
KC0MGG-3   PHG7260   15   6 
KC0NFA-1   PHG6590   49   19 
KC0NFA-2   PHG5470   28   17 
KC0SD-2    PHG5560   37   1 
KC0SD-3    PHG4330   14   1 
KC2HGK     PHG5471   28   7 
KC2KGQ-15  PHG5290   15   22 
KC2WA      PHG2350   11   3 
KC2WA-15   PHG2350   11   3 
KC4FIE-4   PHG6430   24   8 
KC4YOZ-10  PHG9430   30   14 
KC4ZGQ-2   PHG7660   63   69 
KC4ZGQ-3   PHG5530   31   17 
KC5EVE-11  PHG9550   47   5 
KC5EZZ-10  PHG7440   28   1 
KC5EZZ-3   PHG7440   28   10 
KC5GOI-11  PHG5530   31   22 
KC5JZG-2   PHG5260   13   14 
KC5MPZ-2   PHG9230   15   21 
KC5MVZ-2   PHG9230   15   21 
KC5MVZ-4   PHG9230   15   2 
KC5NVZ-2   PHG9230   15   21 
KC5OBX-7   PHG9230   15   32 
KC5QPP-15  PHG4530   28   5 
KC5SII-1   PHG6460   29   12 
KC5ZDV-1   PHG7130   9.4  3 
KC6ETE-3   PHG5480   30   37 
KC6MVZ-2   PHG9230   15   21 
KC8LJC-10  PHG5450   25   18 
KC8LJC-8   PHG5450   25   18 
KC8LJC-9   PHG5450   25   18 
KC8YXF     PHG5370   20   15 
KC9CJJ-3   PHG7270   16   5 
KC9DJM-10  PHG8570   50   53 
KC9DJM-11  PHG8570   50   53 
KC9DJM-12  PHG8570   50   53 
KC9FIQ-7   PHG5530   31   14 
KC9FIQ-8   PHG5490   31   13 
KD4AXP-3   PHG4350   16   8 
KD4BBM-6   PHG5760   75   83 
KD4BJW-2   PHG5630   45   67 
KD4BNQ-3   PHG7260   15   6 
KD4DLT-7   PHG5463   26   69 
KD4HTW-9   PHG6460   29   11 
KD4JWF-3   PHG5230   11   16 
KD4LPU-14  PHG7250   14   1 
KD4MOJ-5   PHG6460   29   18 
KD4MOJ-7   PHG6460   29   17 
KD4MWD-7   PHG6350   19   14 
KD4NUD-10  PHG9260   17   7 
KD4PBS-3   PHG5760   75   99 
KD4QIA-2   PHG7430   26   3 
KD4UPU-2   PHG7200   11   21 
KD4ZB-3    PHG4623   38   8 
KD5AIA-7   PHG4100   6    3 
KD5QYV-11  PHG7330   18   15 
KD5QZD-2   PHG6490   34   18 
KD5QZD-3   PHG9590   60   41 
KD5QZD-6   PHG6490   34   20 
KD6DSI-5   PHG5760   75   27 
KD6ZXE-8   PHG5334   15   2 
KD6ZXE-9   PHG5334   15   2 
KD7AGA-5   PHG7830   106  19 
KD7DTG-10  PHG3078   5.5  1 
KD7OCG-3   PHG9490   42   6 
KD9FC-10   PHG7460   31   3 
KDUPZB-3   PHG9590   60   41 
KE0VN-2    PHG5340   16   9 
KE4CJA-4   PHG6830   98   126 
KE4CVF     PHG3130   6.2  3 
KE4KWE-7   PHG5460   26   5 
KE4LTT-2   PHG7540   39   42 
KE4ROC-7   PHG7360   22   39 
KE5PL-1    PHG9550   47   26 
KE5PL-4    PHG9550   47   28 
KE6AFE-3   PHG5110   7.1  8 
KE6HEC-3   PHG5830   89   33 
KE6REA-3   PHG5810   80   32 
KE6TIP-3   PHG4268   11   14 
KE6UKR-3   PHG5828   84   116 
KE6YJH-5   PHG4930   113  64 
KF3M-1     PHG7640   56   195 
KF4BJM     PHG7490   37   3 
KF4D-10    PHG9350   23   3 
KF4DXY-3   PHG6330   17   11 
KF4ERV-10  PHG5130   7.9  7 
KF4HFR     PHG6360   20   15 
KF4I-10    PHG5330   15   6 
KF4INN-10  PHG7360   22   14 
KF4OYS-3   PHG7770   94   241 
KF4PDX-7   PHG7460   31   12 
KF4QZN-1   PHG8490   40   11 
KF4QZN-2   PHG9460   35   6 
KF4UCI-3   PHG4668   47   27 
KF4UCI-4   PHG4840   85   70 
KF6BVB-5   PHG5360   18   2 
KF6CLH-3   PHG3560   29   4 
KF6RAL-10  PHG5820   84   95 
KF6RAL-14  PHG6630   49   2 
KF6RAL-4   PHG5830   89   15 
KF6TYS-3   PHG3650   39   30 
KG4CKR-1   PHG3360   14   4 
KG4CKR-2   PHG3360   14   4 
KG4KZZ-3   PHG5060   6.7  7 
KG4LVA-1   PHG2570   25   8 
KG4YZY-11  PHG7580   50   133 
KG5KS-2    PHG5633   45   10 
